filename,r2_key,production_url,source_type,file_type,file_size,file_size_bytes,url_exists,article_ids,article_count,last_modified,etag,ai_caption_alt,ai_caption_descriptive,ai_caption_seo,needs_caption
desktop-light-open-edit-mode-template.png,tallyfy/pro/desktop-light-open-edit-mode-template.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-open-edit-mode-template.png,native,.png,292.2KB,299170,True,"pro-documenting-templates-edit-templates-assign-steps-in-the-tallyfy-template-builder,pro-documenting-templates-edit-templates-edit-steps,pro-documenting-templates-edit-templates-index,pro-documenting-templates-variables-how-can-i-use-insert-variables-in-tallyfy",4,2024-09-24T02:01:22.452Z,39609652ac1c6c947193645af5dca81e,Tallyfy template editor in edit mode view,"Tallyfy template editor interface showing workflow steps configuration panel, task automation settings, and step sequencing tools with sidebar navigation menu displayed.",Tallyfy template editor workflow automation configuration tool,no
desktop-light-assign-a-task-to-somebody.png,tallyfy/pro/desktop-light-assign-a-task-to-somebody.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-assign-a-task-to-somebody.png,native,.png,445.4KB,456057,True,"pro-documenting-templates-edit-templates-assign-steps-in-the-tallyfy-template-builder,pro-documenting-templates-edit-templates-edit-steps,pro-index",3,2024-09-24T02:01:54.224Z,b56f2b717c29ce738d82c83b4dab4902,Tallyfy task assignment interface screen,"Tallyfy process screen with task assignment dropdown menu, team member selection options, permission controls, and task scheduling features in dashboard interface.",Tallyfy assign task team member assignees permissions automation,no
desktop-light-click-config-activeprocess.png,tallyfy/pro/desktop-light-click-config-activeprocess.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-click-config-activeprocess.png,native,.png,501.7KB,513770,True,"pro-tracking-and-tasks-processes-edit-processes-how-can-i-edit-tasks-and-processes-in-tallyfy,pro-tracking-and-tasks-processes-edit-processes-how-to-add-process-notes,pro-tracking-and-tasks-processes-how-can-i-export-tallyfy-processes-to-csv",3,2024-09-24T02:01:39.302Z,32178f6b8e7ad6a5fd8ed9a3f3e558b8,Active process configuration panel view view,"Active process configuration dialog showing workflow settings, team member assignments, automation triggers, notification preferences, and process management controls.",Tallyfy active process configuration automation settings automation,no
desktop-light-create-client-onboarding-template-from-tallyfyAI.png,tallyfy/pro/desktop-light-create-client-onboarding-template-from-tallyfyAI.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-create-client-onboarding-template-from-tallyfyAI.png,native,.png,114.8KB,117574,True,"pro-index,pro-tracking-and-tasks-can-i-build-a-flowchart-in-tallyfy,pro-tutorials-your-first-template",3,2024-09-24T02:01:55.037Z,afd94b05629f40ccf91ba7064b6c9880,Create client onboarding template view view,"Create client onboarding template dialog powered by Tallyfy AI, showing template selection, customization options, and workflow configuration for client processes.",Tallyfy AI create client onboarding template automation automation,no
desktop-light-showcase-tracker-tab.png,tallyfy/pro/desktop-light-showcase-tracker-tab.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-showcase-tracker-tab.png,native,.png,220.0KB,225306,True,"pro-launching-how-can-i-launch-a-process-in-tallyfy,pro-tracking-and-tasks-tracker-view-how-can-i-manage-and-track-my-processes-on-tallyfy,pro-tutorials-your-first-process",3,2024-09-24T02:00:51.872Z,7f68b657064300fd005fcd4d62c287ba,Tallyfy process tracker tab view view view,"Tallyfy tracker tab displaying live process monitoring dashboard with task status columns, team member assignments, due dates, and real-time progress visualization.",Tallyfy tracker dashboard monitor task status processes automation,no
desktop-light-add-media-to-tasks.png,tallyfy/pro/desktop-light-add-media-to-tasks.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-add-media-to-tasks.png,native,.png,400.4KB,410034,True,"pro-documenting-templates-insert-media,pro-index",2,2024-09-24T02:01:55.718Z,a0a106c16b5e4117433af79d1befbb23,Add media to tasks interface view view view,"Add media to tasks interface showing file upload controls, media library selection, attachment management tools, and media preview functionality in Tallyfy.",Tallyfy add media files attachments task documentation automation,no
desktop-light-add-task-to-ongoing-process.png,tallyfy/pro/desktop-light-add-task-to-ongoing-process.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-add-task-to-ongoing-process.png,native,.png,10.7KB,10976,True,"pro-launching-how-can-i-launch-a-process-in-tallyfy,pro-tracking-and-tasks-processes-edit-processes-how-can-i-add-tasks-to-active-processes-on-tallyfy",2,2024-09-24T02:01:36.532Z,47e1870e0d57dfb2c68ffa5c7b74c94a,Add task to ongoing process view view view,"Add task to ongoing process screen with task creation form, assignee selection, due date picker, priority settings, and task template selection options.",Tallyfy add task ongoing process workflow management automation,no
desktop-light-click-config-template.png,tallyfy/pro/desktop-light-click-config-template.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-click-config-template.png,native,.png,356.5KB,365054,True,"pro-documenting-templates-edit-templates-add-description,pro-tracking-and-tasks-processes-edit-processes-how-can-i-auto-name-a-process-in-tallyfy",2,2024-09-24T02:00:45.132Z,bb051399b18cf941138f3af5aa89fb49,Template configuration dialog view view view,"Template configuration panel with settings for workflow automation, task sequencing, team access control, notification rules, and approval workflow configuration options.",Tallyfy template configuration workflow automation setup automation,no
desktop-light-click-create-template-by-tallyfyai.png,tallyfy/pro/desktop-light-click-create-template-by-tallyfyai.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-click-create-template-by-tallyfyai.png,native,.png,557.7KB,571108,True,"pro-tracking-and-tasks-can-i-build-a-flowchart-in-tallyfy,pro-tutorials-your-first-template",2,2024-09-24T02:00:58.129Z,5cc535c3866a6e87d352a188730260f6,Tallyfy desktop light click view view view,Tallyfy interface demonstrating desktop light click create template by tallyfyai feature. Shows key workflow automation functionality and team collaboration capabilities in platform.,Tallyfy desktop workflow feature automation automation automation,no
desktop-light-click-filter.png,tallyfy/pro/desktop-light-click-filter.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-click-filter.png,native,.png,48.1KB,49228,True,"pro-documenting-templates-how-to-manage-templates-and-processes-with-tags,pro-launching-how-can-i-launch-a-process-in-tallyfy",2,2024-09-24T02:01:17.196Z,b7ed9ad17e88a6c318222e2adfa84c0c,Click filter option controls view view view,"Tallyfy dashboard with filter controls showing search box, status filters, assignee filters, date range picker, and process type filtering options displayed.",Tallyfy filter search processes status team member automation,no
