# AI rhetorical tells - the baseline
#
# Findings that already existed when the gate was built (tallyfy/documentation#191), so a
# regression guard could be switched on without first rewriting other people's articles.
# EVERY LINE HERE IS A REAL FINDING THAT SHOULD BE FIXED. Nothing here is a false positive;
# the false positives were tuned out of the rules instead.
#
# Format - three pipe-separated fields, the text taken last so it may contain pipes:
#
#   <path> | <rule id> | <the exact matched text>
#
# One line suppresses ONE occurrence. Two identical lines suppress two.
#
# TO REMOVE A LINE: fix the sentence, then delete the line. You do not get a choice about the
# second half - a baseline entry that no longer matches anything is a HARD FAILURE (exit 2),
# so this file can only ever shrink.

# Recorded 2026-09-03 against the corpus at that date: 50 ERROR findings in 19 of 505
# files (3.8%). Every one was hand-reviewed and is a real finding. WARN findings are not
# listed here because WARN does not block.
#
#   conclusion-key-takeaway  1
#   difficulty-hard-part     1
#   glyph-dash               27
#   glyph-quote              4
#   participial-tail         6
#   question-self-answered   9
#   revelation-heres-the     1
#   vague-attribution        1


src/content/docs/answers/objects/index.mdx | participial-tail | , providing flexibility as your data evolves.

src/content/docs/pro/compliance/hsts-compliance.mdx | participial-tail | , eliminating first-visit vulnerability

src/content/docs/pro/documenting/templates/auto-recording-steps-for-sops.mdx | difficulty-hard-part | the hard part

src/content/docs/pro/documenting/templates/edit-templates/edit-steps.mdx | revelation-heres-the | Here's the catch

src/content/docs/pro/integrations/analytics/index.mdx | participial-tail | , ensuring consistent parsing

src/content/docs/pro/integrations/analytics/why-use-a-dedicated-bi-platform-with-tallyfy.mdx | question-self-answered | The result?

src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-dash | EN DASH (U+2013)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-quote | ELLIPSIS CHARACTER (U+2026)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-quote | ELLIPSIS CHARACTER (U+2026)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-quote | ELLIPSIS CHARACTER (U+2026)
src/content/docs/pro/integrations/azure-translation/global-workplace-language-requirements.mdx | glyph-quote | ELLIPSIS CHARACTER (U+2026)

src/content/docs/pro/integrations/business-systems/eos-integration.mdx | question-self-answered | The result?

src/content/docs/pro/integrations/mcp-server/openai-chatgpt/index.mdx | participial-tail | , highlighting what changed.

src/content/docs/pro/integrations/middleware/zapier/how-can-i-improve-task-management-with-tallyfy.mdx | question-self-answered | what?
src/content/docs/pro/integrations/middleware/zapier/how-can-i-improve-task-management-with-tallyfy.mdx | question-self-answered | what?

src/content/docs/pro/integrations/tallyfy-desktop-ai/index.mdx | question-self-answered | Why?

src/content/docs/pro/integrations/vendors/close/index.mdx | question-self-answered | what?

src/content/docs/pro/integrations/vendors/salesforce/index.mdx | question-self-answered | The difference?

src/content/docs/pro/tracking-and-tasks/tasks/task-escalation-for-overdue-items.mdx | vague-attribution | Research shows

src/content/docs/pro/tutorials/features/ticket-driven-vs-process-driven.mdx | question-self-answered | The result?

